广西玉林市酒店电信,#genre#
广西综艺,http://110.72.79.71:808/hls/334/index.m3u8
广西影视,http://110.72.79.71:808/hls/201/index.m3u8
贵港新闻综合,http://110.72.79.71:808/hls/7/index.m3u8
CCTV7,http://110.72.79.71:808/hls/5/index.m3u8
平南综合频道,http://110.72.79.71:808/hls/6/index.m3u8
广告宣传,http://110.72.79.71:808/hls/10/index.m3u8
广东卫视,http://110.72.79.71:808/hls/11/index.m3u8
嘉嘉卡通,http://110.72.79.71:808/hls/12/index.m3u8
广东体育,http://110.72.79.71:808/hls/13/index.m3u8
珠江台,http://110.72.79.71:808/hls/24/index.m3u8
CCTV-5+高清,http://110.72.79.71:808/hls/14/index.m3u8
南方卫视,http://110.72.79.71:808/hls/81/index.m3u8
广东影视,http://110.72.79.71:808/hls/59/index.m3u8
湖南卫视,http://110.72.79.71:808/hls/25/index.m3u8
金鹰卡通,http://110.72.79.71:808/hls/26/index.m3u8
湖北卫视,http://110.72.79.71:808/hls/27/index.m3u8
深圳卫视,http://110.72.79.71:808/hls/1033/index.m3u8
四川卫视,http://110.72.79.71:808/hls/44/index.m3u8
东方卫视,http://110.72.79.71:808/hls/29/index.m3u8
炫动卡通,http://110.72.79.71:808/hls/28/index.m3u8
星空卫视,http://110.72.79.71:808/hls/60/index.m3u8
云南卫视,http://110.72.79.71:808/hls/15/index.m3u8
辽宁卫视,http://110.72.79.71:808/hls/2/index.m3u8
中国教育1,http://110.72.79.71:808/hls/129/index.m3u8
安徽卫视,http://110.72.79.71:808/hls/145/index.m3u8
北京卫视,http://110.72.79.71:808/hls/137/index.m3u8
卡酷动漫,http://110.72.79.71:808/hls/138/index.m3u8
福建卫视,http://110.72.79.71:808/hls/121/index.m3u8
天津卫视,http://110.72.79.71:808/hls/20/index.m3u8
中国电影,http://110.72.79.71:808/hls/61/index.m3u8
江苏卫视,http://110.72.79.71:808/hls/30/index.m3u8
优漫卡通,http://110.72.79.71:808/hls/31/index.m3u8
重庆卫视,http://110.72.79.71:808/hls/33/index.m3u8
厦门卫视,http://110.72.79.71:808/hls/122/index.m3u8
